Cluster ID,confidence_score,_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
489,0.423723698,5cb2544acf504e43d0901ec4,191,AIS,20/03/2019 07:13,,,,Arrival,417,Singapore,1,vesseltracker,,,103,,281366,9456484,26,563009850,NOBLE VALOUR,tug
489,0.423723698,5cb2544acf504e43d0901358,,,20/03/2019 07:14,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,NOBLE VALOUR,
490,0.723818183,5cb2544acf504e43d0900fd8,,,20/03/2019 12:30,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,BLESS SEVEN,
490,0.723818183,5cb2544acf504e43d0901bb8,69,AIS,20/03/2019 12:30,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2270783,,17,631300101,BLESS SEVEN,
491,0.423723698,5cb2544acf504e43d0900e48,,,20/03/2019 16:20,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,DM 55,
491,0.423723698,5cb2544acf504e43d0901a43,191,AIS,20/03/2019 16:26,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2094681,,20,563027970,DM 55,
492,0.723818183,5cb2544acf504e43d0901321,,,20/03/2019 07:32,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,GP-45,
492,0.723818183,5cb2544acf504e43d0901e91,191,AIS,20/03/2019 07:32,,,,Arrival,417,Singapore,1,vesseltracker,,,,,308531,,15,565175000,GP-45,passenger_ship
493,0.723818183,5cb2544acf504e43d0901e8f,191,AIS,20/03/2019 07:33,,,,Departure,,,1,vesseltracker,,,,,2133951,,15,563004855,CKL XIV,
493,0.723818183,5cb2544acf504e43d0901320,,,20/03/2019 07:33,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,CKL XIV,
494,0.423723698,5cb2544acf504e43d09014a2,,,20/03/2019 04:54,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SEA HAWK,
494,0.423723698,5cb2544acf504e43d0902035,191,AIS,20/03/2019 04:53,,,,Departure,,,1,vesseltracker,,,,,410822,,28,563016950,SEA HAWK,passenger_ship
495,0.723818183,5cb2544acf504e43d0901341,,,20/03/2019 07:22,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,REVS YOUR HEART,
495,0.723818183,5cb2544acf504e43d0901ead,191,AIS,20/03/2019 07:22,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1974468,,8,563029270,REVS YOUR HEART,
496,0.423723698,5cb2544acf504e43d0901d59,191,AIS,20/03/2019 09:33,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1539663,,18,563023690,DM 66,passenger_ship
496,0.423723698,5cb2544acf504e43d09011b9,,,20/03/2019 09:32,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,DM 66,
